PEK,YYZ
PHL,YYZ
PHX,YYZ
PVG,YYZ
SFO,YYZ
VIE,YYZ
YYZ,ATL
YYZ,AUH
YYZ,BCN
YYZ,CDG
YYZ,CLT
YYZ,CPH
YYZ,DEN
YYZ,DFW
YYZ,EWR
YYZ,FCO
YYZ,FRA
YYZ,HKG
YYZ,IST
YYZ,JFK
YYZ,LAX
YYZ,LHR
YYZ,MCO
YYZ,MIA
YYZ,MUC
YYZ,NRT
YYZ,ORD
YYZ,PEK
YYZ,PHL
YYZ,PHX
YYZ,PVG
YYZ,SFO
YYZ,VIE
YYZ,ZRH
ZRH,YYZ
TPE,XMN
XMN,TPE
AMS,AUH
AMS,CDG
AMS,KUL
AMS,TPE
ATL,BRU
ATL,CDG
ATL,CLT
ATL,DEN
ATL,DFW
ATL,DUS
ATL,EWR
ATL,FCO
ATL,FRA
