City,Airport,Acronym,Latitude,Longitude,re_check_in
Clermont,Clermont Airport,CMQ,-22.773099899291992,147.62100219726562,0
Warrnambool,Warrnambool Airport,WMB,-38.2952995300293,142.44700622558594,1
Richmond,Richmond Airport,RCM,-20.70190048217773,143.11500549316406,1
Derby,RAAF Base Curtin,DCN,-17.5813999176,123.82800293,1
Medan,Kualanamu International Airport,KNO,3.642222,98.885278,0
Kamloops,Gratiot Community Airport,AMN,43.322101593,-84.68800354,1
Asheboro,Asheboro Regional Airport,\N,35.65449905,-79.8946991,0
Seosan,Seosan Air Base,HMY,36.703999,126.486,0
Wallace,Henderson Field,\N,34.717899322509766,-78.00360107421875,0
Emporia,Emporia Greensville Regional Airport,\N,36.6869010925293,-77.48280334472656,1
El Monte,San Gabriel Valley Airport,EMT,34.086102,-118.035004,0
Farah,Farah Airport,FAH,32.367000579833984,62.18299865722656,1
Pasighat,Pasighat Airport,IXT,28.06609916687012,95.33560180664062,0
Pineville,Kee Field,\N,37.600399017333984,-81.5593032836914,1
Kramatorsk,Kramatorsk Airport,KRQ,48.70560073852539,37.62889862060547,0
Kautokeino,Kautokeino Air Base,QKX,69.04029846191406,23.03400039672852,1
Marcq En Baroeul,Lille/Marcq-en-Baroeul Airport,\N,50.687198638916016,3.0755600929260254,0
Kamsar,Kawass Airport,\N,10.651000022888,-14.533599853516,0
Stinson,Stinson Municipal Airport,SSF,29.336999893188,-98.471099853516,0
Sallisaw,Sallisaw Municipal Airport,\N,35.4382019,-94.80280304,1
Jasper,Jasper County Airport-Bell Field,JAS,30.88570023,-94.03489685,1
El dorado springs,El Dorado Springs Memorial Airport,\N,37.8567008972168,-93.99909973144533,1
Marfa,Marfa Municipal Airport,MRF,30.371099,-104.017997,1
Alpine,Alpine Casparis Municipal Airport,ALE,30.3841991425,-103.683998108,0
Bubaque,Bubaque Airport,BQE,11.297355651855469,-15.838079452514648,0
Chichen Itza,Chichen Itza International Airport,CZA,20.6413002014,-88.4461975098,0
Bunbury,Bunbury Airport,BUY,-33.378299713134766,115.677001953125,0
Upland,Cable Airport,CCB,34.1115989685,-117.68800354,1
Mount Sterling,Mount Sterling Montgomery County Airport,\N,38.05810165,-83.979599,0
Elkhart,Elkhart Municipal Airport,EKI,41.7193984985,-86.00319671630001,0
Nappanee ,Nappanee Municipal Airport,\N,41.44620132446289,-85.93479919433594,0
Columbia,Jim Hamilton L.B. Owens Airport,CUB,33.970500946,-80.9952011108,1
Grove,Grove Municipal Airport,\N,36.60680008,-94.73860168,1
Mc Pherson,Mc Pherson Airport,\N,38.35240173,-97.69129944,1
Greenville,Donaldson Field Airport,GDC,34.758301,-82.376404,0
Perry,Perry Houston County Airport,\N,32.51060104370117,-83.76730346679688,1
Hartsville,Hartsville Regional Airport,HVS,34.4030990601,-80.11920166019999,0
Chapel Hill,Horace Williams Airport,\N,35.935001,-79.065902,0
San Cristobal de las Casas,San Cristobal de las Casas Airport,SZT,16.690299987793,-92.530097961426,0
Dunnville,Dunnville Airport,DU9,42.8722000122,-79.5958023071,0
Oak Island,Brunswick County Airport,\N,33.9292984,-78.07499695,0
Richmond,Chesterfield County Airport,\N,37.40650177,-77.52500153,1
Atherton,Atherton Airport,\N,-17.2616996765,145.51499939,1
Bagdarin,Bagdarin Airport,\N,54.36920166015625,113.47899627685548,1
Rio Hato,Scarlett Martinez International Airport,RIH,8.375880241394,-80.127899169922,1
Oxford,Henderson Oxford Airport,\N,36.36159897,-78.52919769,0
Leesburg,Leesburg International Airport,LEE,28.82309914,-81.80870056,1
Vladimir,Semyazino Airport,\N,56.12670135498047,40.31499862670898,1
Dedeben,Witberg Tswalu Airport,\N,-27.20499992370605,22.48189926147461,1
Mana Pools,Mana Pools Airport,\N,-15.768735,29.385617,0
Pouso Alegre,Pouso Alegre Airport,PPY,-22.28919982910156,-45.91910171508789,1
Divinopolis,Brigadeiro Cabral Airport,DIQ,-20.180700302124,-44.870899200439,1
Eysk,Yeysk Airport,EIK,46.68,38.21,0
Berdyansk,Berdyansk Airport,ERD,46.81499862670898,36.75809860229492,1
Banyuwangi,Blimbingsari Airport,BWX,-8.31015,114.3401,1
Erenhot,Erenhot Saiwusu International Airport,ERL,43.4225,112.096667,0
Shobdon,Shobdon Aerodrome,\N,52.2416992188,-2.88110995293,0
Chino,Chino Airport,CNO,33.97470093,-117.637001,1
Shin-kamigoto,Kamigoto Airport,\N,33.0130996704,129.192001343,1
Odika,Ojika Airport,\N,33.1907997131,129.089996338,1
Tokyo,Chofu Airport,\N,35.67169952392578,139.5279998779297,0
Taketomi,Hateruma Airport,HTR,24.0589008331,123.805999756,0
London,Madison County Airport,\N,39.93270111,-83.46199799,1
Cayo Santa Maria,Las Brujas Airport,BWW,22.6212997437,-79.1472015381,1
Tremblay-en-France,Digby (General Hospital) Heliport,\N,44.6161003112793,-65.76190185546875,1
Thun,Thun Airport,\N,46.756401062,7.60056018829,1
Lavrentiya,Lavrentiya Airport,\N,65.58000183105469,-170.99667358398438,0
Paso Robles,Paso Robles Municipal Airport,PRB,35.67290115,-120.6269989,0
Ulleung,N 104 Helipad,\N,37.4791666667,130.895555556,1
Beijing,Beijing Daxing International Airport,PKX,39.509945,116.41092,0
Kotka,Kymi Airport,\N,60.5713996887207,26.89609909057617,0
Half Moon Bay,Half Moon Bay Airport,HAF,37.5134010315,-122.500999451,1
Hechi,Hechi Jinchengjiang Airport,HCJ,24.805,107.6997,0
Kadina,Kadina Airport,\N,-33.97669982910156,137.66000366210938,1
Lancaster,General WM J Fox Airfield,WJF,34.74110031,-118.2190018,0
Coondewanna,Coondewanna Airport,CJF,-22.96669960022,118.81300354004,1
Guarapari,Guarapari Airport,GUZ,-20.646499633800005,-40.491901397700005,0
Ubatuba,Ubatuba Airport,UBT,-23.44109916687012,-45.07559967041016,1
Nasiriyah,Ali Air Base,\N,30.935800552368164,46.0900993347168,0
Ota,Ota Air Base,\N,39.087502,-8.96278,1
Borroloola,Borroloola Airport,BOX,-16.075300216674805,136.302001953125,1
Elsenthal,Elsenthal Grafe Airport,\N,48.822498,13.3675,1
Newtownards,Newtownards Airport,\N,54.5811004639,-5.69193983078,1
Headcorn,Lashenden (Headcorn) Airfield,\N,51.156898,0.641667,1
Panshanger,Panshanger Aerodrome,\N,51.80250167849999,-0.158056005836,1
Thurrock,Thurrock Airfield,\N,51.537505,0.367634,1
Stapleford,Stapleford Aerodrome,\N,51.652500152600005,0.155833005905,0
Bangalore,HAL Airport,\N,12.9499998093,77.6681976318,0
Goodwood,Chichester/Goodwood Airport,QUG,50.85940170288086,-0.7591670155525208,0
Omarama,Omarama Glider Airport,\N,-44.486698150634766,169.98599243164062,0
Haast,Haast Aerodrome,\N,-43.86529922485352,169.04100036621094,1
Meschede,Meschede-Schüren Airport,\N,51.30277633666992,8.239167213439941,0
Tena,Jumandy Airport,TNW,-1.059722,-77.583333,1
Rio de Janeiro,Morro da Urca Heliport,\N,-22.95166778564453,-43.16583251953125,1
Fuyuan,Dongji Aiport,FYJ,48.199494,134.366447,0
Skuvoy,Skúvoy Heliport,\N,61.76959991455078,-6.803410053253174,0
Stora Dimun,Stóra Dímun Heliport,\N,61.68529891967773,-6.758500099182129,0
Frooba,Frooba Heliport,\N,61.543701171875,-6.774419784545898,0
Roxboro,Person County Airport,\N,36.28490067,-78.98419952,0
Phinda,Zulu Inyala Airport,PZL,-27.84939956665039,32.30970001220703,0
Liupanshui,Liupanshui Yuezhao Airport,LPF,26.609417,104.979,0
Kaili,Kaili Airport,KJH,26.972,107.988,1
Shennongjia,Shennongjia Hongping Airport,HPG,31.626,110.34,0
Zhangjiakou,Zhangjiakou Ningyuan Airport,ZQZ,40.7386016846,114.930000305,1
Arxan,Arxan Yi'ershi Airport,YIE,47.3106,119.9117,0
Hengyang,Hengyang Nanyue Airport,HNY,26.9053,112.627998,1
Ngawa,Hongyuan Airport,AHJ,32.53154,102.35224,0
Wonsan,Wonsan Kalma International Airport,WOS,39.166801,127.486,0
Mestia,Mestia Queen Tamar Airport,\N,43.053597,42.749012,0
Magas,Magas Airport,IGT,43.3222999573,45.0125999451,1
Talladega,Talladega Municipal Airport,ASN,33.569900512699995,-86.05090332030001,1
Greenville,Greenville Downtown Airport,GMU,34.8479003906,-82.34999847410002,0
Mankato,Mankato Regional Airport,\N,44.22159958,-93.91870117,1
Anegada,Captain Auguste George Airport,NGD,18.72719955444336,-64.32969665527344,0
Troy,Troy Municipal Airport at N Kenneth Campbell Field,TOI,31.860399,-86.012101,1
Sylacauga,Merkel Field Sylacauga Municipal Airport,\N,33.17179870605469,-86.30549621582031,0
Enterprise,Enterprise Municipal Airport,ETS,31.29969978,-85.89990234,1
Tucson,Ryan Field,\N,32.1422004699707,-111.1750030517578,1
Efogi,Efogi Airport,EFG,-9.15380555556,147.659805556,1
Kagi,Kagi Airport,KGW,-9.13591666667,147.669444444,0
Nadunumu,Nadunumu Airport,NDN,-9.14355555556,147.68425,1
Bodinumu,Bodinumu Airport,BNM,-9.10777777778,147.666722222,0
Alexander City,Thomas C Russell Field,ALX,32.914699554399995,-85.9629974365,1
Wadeye,Port Keats Airport,PKT,-14.25,129.5290069580078,1
Pirlangimpi,Garden Point Airport,GPN,-11.40250015258789,130.4219970703125,0
Stade,Stade Airport,\N,53.56111145019531,9.499167442321776,1
Meriden,Meriden Markham Municipal Airport,\N,41.50870132446289,-72.82949829101562,1
Elliston,Flinders Island Airport,\N,-33.730989,134.501,0
Lucerne,Luzern-Beromunster Airport,\N,47.18999862670898,8.204719543457031,1
La Grand'Combe,La Grand'combe Airport,\N,44.24440002441406,4.012219905853272,0
Doha,Hamad International Airport,DOH,25.273056,51.608056,1
Wood Buffalo,Fort Mackay / Horizon Airport,HZP,57.3816986084,-111.700996399,0
Canmore,Canmore Municipal Heliport,\N,51.07780075069999,-115.337997437,0
Krasnokamensk,Krasnokamensk Airport,\N,50.03310775756836,118.06114196777344,1
Ridgely,Ridgely Airpark,\N,38.97010040283203,-75.86630249023438,0
New Castle,New Castle Henry Co. Municipal Airport,\N,39.87590027,-85.32649994,0
Scott City,Scott City Municipal Airport,\N,38.47430038452149,-100.88500213623048,1
Holdredge,Brewster Field,HDE,40.452099,-99.336502,0
Pratt,Pratt Regional Airport,PTT,37.70159912,-98.74690247,1
Baikonur,Yubileyniy Airfield,\N,46.05500030517578,63.25,1
Wahoo,Wahoo Municipal Airport,\N,41.2412986755,-96.59400177,0
Lexington,Jim Kelly Field,LXN,40.7910003662,-99.7772979736,1
Sublette,Sublette Municipal Airport,\N,37.49140167,-100.8300018,0
Council Bluffs,Council Bluffs Municipal Airport,CBF,41.2592010498,-95.760597229,0
Kokomo,Kokomo Municipal Airport,OKK,40.528198242188,-86.05899810791,1
Neodesha,Neodesha Municipal Airport,\N,37.43539810180664,-95.64610290527344,0
Sutton,King Ranch Airport,\N,61.79560089111328,-148.35499572753906,0
Elkhart,Elkhart Morton County Airport,\N,37.000702,-101.879997,0
Denver,Front Range Airport,\N,39.785301208496094,-104.54299926757812,1
Galesburg,Galesburg Municipal Airport,GBG,40.9379997253,-90.431098938,1
Guymon,Guymon Municipal Airport,GUY,36.6851005554,-101.508003235,0
Meade,Meade Municipal Airport,\N,37.27690124511719,-100.3560028076172,1
Shell Knob,Turkey Mountain Estates Airport,\N,36.59170150756836,-93.66690063476562,0
Ulysses,Ulysses Airport,\N,37.60400009,-101.3740005,0
Flagler,Flagler Aerial Spraying Inc Airport,\N,39.27999877929688,-103.06700134277344,1
Independence,Independence Municipal Airport,IDP,37.1584014893,-95.7783966064,0
Augusta,Augusta Municipal Airport,\N,37.67160034179688,-97.0779037475586,1
Larned,Larned Pawnee County Airport,\N,38.20859909,-99.08599854,0
Lampasas,Lampasas Airport,\N,31.106199264526367,-98.1958999633789,1
Bay City,Bay City Municipal Airport,BBC,28.9733009338,-95.8635025024,0
Paris,Cox Field,PRX,33.636600494385,-95.450798034668,1
Coffeyville,Coffeyville Municipal Airport,CFV,37.09400177,-95.5718994141,1
Summit,The Farm Airport,\N,33.93579864501953,-81.42970275878906,0
Greeley,Greeley–Weld County Airport,GXY,40.4374008179,-104.633003235,1
Memphis,General Dewitt Spain Airport,\N,35.20069885,-90.05400085,0
Oakley,Oryol Yuzhny Airport,OEL,52.9347000122,36.0022010803,0
Fremont,Fremont Municipal Airport,FET,41.44910049,-96.52020264,0
La Grande,La Grande/Union County Airport,LGD,45.2901992798,-118.007003784,1
Szczytno-Szymany,Olsztyn-Mazury Airport,SZY,53.481899,20.9377,0
Mount Pocono,Pocono Mountains Municipal Airport,MPO,41.137503,-75.378897,0
Quakertown,Quakertown Airport,UKT,40.435199737549,-75.381896972656,0
Banff,Banff Airport,YBA,51.2073404699,-115.541861057,0
Nordborg,Nordborg Flyveplads,\N,55.07485,9.753379,0
Banning,Banning Municipal Airport,BNG,33.9230995178,-116.850997925,0
Giessen,Gießen-Lützellinden Airport,\N,50.543888092041016,8.590277671813965,0
Budapest,Tököl Airport,\N,47.345298767100005,18.9808006287,0
Norfolk  Nebraska,Karl Stefan Memorial Airport,OFK,41.985500335693,-97.435096740723,1
Kotido,Kotido Airport,\N,2.953,34.1232,0
Kampala,Kajjansi Airfield,\N,0.1968,32.55297,0
Arlington,Arlington Municipal Airport,\N,48.16070175,-122.1589966,0
Paracatu,Paracatu Airport,\N,-17.242599487304688,-46.88309860229492,1
Conselheiro Lafaiete,Das Bandeirinhas Airport,\N,-20.738585,-43.797444,1
Janauba,Janaúba Airport,\N,-15.732,-43.323102,0
Teofilo Otoni,Juscelino Kubitscheck Airport,TFL,-17.89229965209961,-41.51359939575195,0
Muriae,Cristiano Ferreira Varella Airport,\N,-21.126100540161133,-42.39440155029297,0
Tampa,Peter O Knight Airport,TPF,27.915599822998,-82.44930267334,1
Malbouhans,Lure Malbouhans Air Base,\N,47.7047,6.54583,0
Paraty,Parati Airport,\N,-23.2243995667,-44.720298767100005,1
Buzios,Umberto Modiano Airport,BZC,-22.770999908447266,-41.96289825439453,1
Angra dos Reis,Angra dos Reis Airport,\N,-22.97529983520508,-44.30709838867188,1
Itaperuna,Itaperuna Airport,ITP,-21.2192993164,-41.8759002686,1
Marica,Maricá Airport,\N,-22.9195,-42.830898,0
Resende,Resende Airport,REZ,-22.4785003662,-44.4803009033,0
Saquarema,Saquarema Airport,\N,-22.92972183227539,-42.50694274902344,0
Drumheller,Drumheller Municipal Airport,\N,51.49639892578125,-112.7490005493164,1
Mwene-Ditu,Mwene-Ditu Airport,\N,-6.982999801635742,23.08300018310547,0
Kabinda,Tunta Airport,KBN,-6.132999897,24.4829998016,1
Ikela,Ikela Airport,IKL,-1.048109,23.372501,1
Aripuana,Aripuanã Airport,AIR,-10.188278,-59.457273,1
Juruena,Juruena Airport,JRN,-10.305832862854004,-58.489444732666016,0
Juina,Juína Airport,JIA,-11.419444,-58.701668,1
Vila Rica,Vila Rica Airport,VLP,-9.979443550109863,-51.1422233581543,1
Juara,Inácio Luís do Nascimento Airport,JUA,-11.2966,-57.5495,0
Caceres,Cáceres Airport,CCX,-16.04360008239746,-57.62990188598633,0
Chapada dos Guimaraes,Posto Leonardo Vilas Boas Airport,\N,-12.19833278656006,-53.38166809082031,1
Tangara da Serra,Tangará da Serra Airport,TGQ,-14.6619997025,-57.4435005188,1
Canarana,Canarana Airport,CQA,-13.574443817138672,-52.27055740356445,1
Vila Bela da Santissima Trindade ,Vila Bela da Santíssima Trindade Airport,MTG,-14.9942,-59.9458,1
Bumba,Bumbar Airport,BMB,2.18278,22.481701,0
Sobral,Sobral Airport,\N,-3.67889,-40.336802,1
Arapiraca,Arapiraca Airport,APQ,-9.775360107421877,-36.62919998168945,1
Floriano,Cangapara Airport,FLB,-6.8463897705078125,-43.07730102539063,0
Picos,Picos Airport,PCS,-7.0620598793029785,-41.52370071411133,1
Beni,Beni Airport,BNC,0.575,29.4739,1
Boende,Boende Airport,BNB,-0.2169999927282333,20.850000381469727,0
Montauk,Montauk Airport,MTP,41.0765,-71.920797,1
Valparaiso IN,Porter County Municipal Airport,VPZ,41.45399857,-87.00710297,1
DHARAVANDHOO,Dharavandhoo Airport,DRV,5.1561,73.1302,0
Saumlaki,Saumlaki/Olilit Airport,SXK,-7.9886097908,131.305999756,0
Melo,Cerro Largo International Airport,MLZ,-32.33789825439453,-54.21670150756836,1
Paysandu,Tydeo Larre Borges Airport,PDU,-32.36330032348633,-58.0619010925293,1
Artigas ,Artigas International Airport,ATI,-30.40069961547852,-56.50790023803711,1
Murray Bridge,Murray Bridge Airport,\N,-35.06669998168945,139.2270050048828,1
Horsham,Horsham Airport,HSM,-36.669700622558594,142.17300415039062,0
Swan Hill,Swan Hill Airport,SWH,-35.37580108642578,143.5330047607422,0
Turtle Island,Turtle Island Seaplane Base,TTL,-16.966,177.368,0
Karimunjawa,Dewadaru - Kemujan Island,KWB,-5.80091,110.47838,1
Kongolo,Kongolo Airport,KOO,-5.39444,26.99,0
Attopeu,Attopeu Airport,AOU,14.814715357,106.821699142,0
Kahemba,Kahemba Airport,\N,-7.333000183105469,19.017000198364254,1
Caracas,Francisco de Miranda Airport,\N,10.4850330353,-66.8435134888,1
Sao Miguel do Oeste,São Miguel do Oeste Airport,SQX,-26.78160095214844,-53.50350189208984,1
Ludington,Mason County Airport,LDM,43.96250153,-86.40789795,1
San Jose,Reid-Hillview Airport of Santa Clara County,RHV,37.332901001,-121.819000244,0
Sohar,Sohar Airport,OHS,24.38604,56.62541,0
Kadanwari,Kadanwari Airport,KCF,27.1667003632,69.31670379639999,0
Sindh,Sawan Airport,RZS,26.9662,68.878098,0
Thamkharka,Thamkharka Airport,\N,27.04787,86.858022,1
Thimarafushi,Thimarafushi Airport,TMF,2.211,73.1533,1
Ifuru,Ifuru Airport,IFU,5.7083,73.025,0
Kieta,Kaintiba Airport,KZF,-7.50025,146.033833333,1
Ordu-Giresun,Ordu Giresun Airport,OGU,40.966047,38.080994,0
Hakkari,Hakkari Yüksekova Airport,YKO,37.5497,44.2381,1
Jelenia Gora,Jelenia Góra Glider Airport,\N,50.89889907836914,15.785599708557127,1
Jakar,Bathpalathang Airport,BUT,27.5622,90.7471,0
Toli-Toli,Sultan Bantilan Airport,TLI,1.123428,120.793658,1
Vuktyl,Vuktyl Airport,\N,63.82329940795898,57.27999877929688,1
Berezniki,Berezniki Airport,\N,59.57954788208008,56.85768127441406,1
San Sebastian,San Sebastián Airport,\N,-53.31700134277344,-68.6500015258789,0
Tolhuin,Tolwin Observatory Airport,\N,-54.521900177,-67.1989974976,1
Tarko-Sale,Tarko-Sale Airport,TQL,64.9308013916,77.81809997559999,1
Camarillo - CA,Camarillo Airport,\N,34.21369934082031,-119.09400177001952,0
Leopoldsburg,Leopoldsburg Airfield,\N,51.12,5.3072222,0
Jinchuan,Jinchuan Airport,JIC,38.5422222222,102.348333333,0
Moyogalpa,Omtepe Airport,\N,11.523616,-85.702995,0
Bole,Alashankou Bole (Bortala) airport,BPL,44.895,82.3,1
Fuyun,Fuyun Koktokay Airport,FYN,46.804169,89.512006,1
Achinsk,Achinsk Airport,ACS,56.2682991027832,90.57080078125,0
LINFEN,Linfen Qiaoli Airport,LFQ,36.132629,111.641236,1
Hinton,Hinton/Jasper-Hinton Airport,YJP,53.3191986084,-117.752998352,0
Watsonville,Watsonville Municipal Airport,WVI,36.9356994629,-121.790000916,1
Gelephu,Gelephu Airport,GLU,26.88456,90.46412,0
Hollister,Hollister Municipal Airport,HLI,36.8932991028,-121.410003662,0
Williamsburg,Williamsburg Jamestown Airport,\N,37.239200592041016,-76.71610260009766,1
Dulkaninna,Dulkaninna Airport,DLK,-29.0132999420166,138.4810028076172,0
William Creek,William Creek Airport,\N,-28.906700134277344,136.3419952392578,1
Kenora,Kenora Seaplane Base,\N,49.767424,-94.49274,1
Riga,Rumbula Air Base,\N,56.8833007812,24.2266998291,0
Siquijor,Siquijor Airport,\N,9.21420322319,123.472251892,1
Musselwhite Mine,Opapimiskan Lake Airport,YBS,52.6067008972,-90.3768997192,1
Rizhao,Rizhao Shanzihe Airport,RIZ,35.405033,119.324403,0
Sanming,Shaxian Airport,SQJ,26.4263,117.8336,0
Taroom,Taroom Airport,XTO,-25.801700592041016,149.89999389648438,0
Gelnhausen,Gelnhausen Airport,\N,50.19722366333008,9.170000076293944,1
Aero,Ærø Airport,\N,54.85279846191406,10.45639991760254,0
Lauterbach-Wernges,Lauterbach Airport,\N,50.683334,9.410833,0
Aschaffenburg,Aschaffenburg Airport,\N,49.93888854980469,9.063888549804688,1
Squamish,Squamish Airport,YSE,49.7817001343,-123.162002563,1
Reichelsheim,Reichelsheim Airport,\N,50.33583450317383,8.878055572509766,1
Schoenstadt,Marburg-Schönstadt Airport,\N,50.87444305419922,8.8149995803833,0
Lauenbrueck,Lauenbrück Airport,\N,53.20750045776367,9.57333278656006,0
Huettenbusch,Hüttenbusch Airport,\N,53.28666687011719,8.947221755981445,1
Vsar,Vrsar Crljenka Airport,\N,45.141700744628906,13.630599975585938,0
Marysville,Union County Airport,\N,40.224700927734375,-83.35160064697266,1
La Grande-4,La Grande-4 Airport,YAH,53.754699707,-73.6753005981,1
Alert Bay,Alert Bay Airport,YAL,50.58219909667969,-126.91600036621094,0
Liverpool,Liverpool South Shore Regional Airport,\N,44.2303009033,-64.85610198970001,0
Nipawin,Nipawin Airport,\N,53.33250045776367,-104.00800323486328,1
Centralia,Centralia / James T. Field Memorial Aerodrome,YCE,43.285599,-81.508301,0
Blue River,Blue River Airport,\N,52.11669921875,-119.28299713134766,1
Chetwynd,Chetwynd Airport,YCQ,55.687198638916016,-121.6269989013672,1
Ross River,Ross River Airport,XRR,61.9706001282,-132.42300415,0
Dolbeau-St-Félicien,Dolbeau St Felicien Airport,YDO,48.778499603271,-72.375,0
Amos,Amos/Magny Airport,YEY,48.563903,-78.249702,0
Goderich,Goderich Airport,\N,43.7668991089,-81.7106018066,1
Hope,Hope Airport,YHE,49.3683013916,-121.498001099,0
Haines Junction,Haines Junction Airport,YHT,60.78919982910156,-137.54600524902344,0
Digby,Digby / Annapolis Regional Airport,YDG,44.5458450365,-65.7854247093,0
Fort Liard,Fort Liard Airport,YJF,60.2358016968,-123.46900177,0
Key Lake,Key Lake Airport,YKJ,57.25609970092773,-105.61799621582033,1
Leaf Rapids,Leaf Rapids Airport,YLR,56.513301849365234,-99.98529815673828,1
Matane,Matane Airport,YME,48.85689926147461,-67.45330047607422,0
Charlevoix,Charlevoix Airport,YML,47.59749984741211,-70.2238998413086,0
Nejanilini Lake,Nejanilini Lake Airport,\N,59.4874992371,-97.7802963257,0
Owen Sound,Owen Sound / Billy Bishop Regional Airport,YOS,44.5903015137,-80.8375015259,1
Port Hawkesbury,Port Hawkesbury Airport,YPS,45.6567001343,-61.3680992126,0
St Thomas,St Thomas Municipal Airport,YQS,42.77000045776367,-81.11080169677734,1
Ottawa,Ottawa / Rockcliffe Airport,YRO,45.4603004456,-75.64610290530001,1
Ottawa,Ottawa / Carp Airport,\N,45.3191986084,-76.0222015381,1
Smiths Falls,Smiths Falls-Montague (Russ Beach) Airport,YSH,44.94580078125,-75.94059753417969,0
St Leonard,St Leonard Airport,YSL,47.157501220703125,-67.83470153808594,0
Virden,Virden/R.J. (Bob) Andrew Field Regional Aerodrome,\N,49.8782997131,-100.917999268,1
Vernon,Vernon Airport,YVE,50.24810028076172,-119.33100128173828,1
Beaver Creek,Beaver Creek Airport,YXQ,62.410301208496094,-140.86700439453125,1
Salmon Arm,Shuswap Regional Airport,YSN,50.682802,-119.228996,1
Kelsey,Kelsey Airport,KES,56.0374984741,-96.5096969604,0
Pukatawagan,Pukatawagan Airport,XPK,55.7491989136,-101.26599884,1
Grand Forks,Grand Forks Airport,ZGF,49.01559829711914,-118.43099975585938,1
Jenpeg,Jenpeg Airport,ZJG,54.51890182495117,-98.0460968017578,1
Thicket Portage,Thicket Portage Airport,YTD,55.31890106201172,-97.70780181884766,0
Pikwitonei,Pikwitonei Airport,PIW,55.58890151977539,-97.16419982910156,1
Poplar River,Poplar River Airport,XPP,52.9965258788,-97.2741937637,0
Pincher Creek,Pincher Creek Airport,WPC,49.520599365200006,-113.997001648,1
Stewart,Stewart Airport,ZST,55.935410448,-129.982434511,1
Ignace,Ignace Municipal Airport,ZUC,49.4296989440918,-91.7177963256836,0
Neubrandenburg,Neubrandenburg Airport,FNB,53.6022,13.306,0
Bamberg,Airport Bamberg-Breitenau,\N,49.920403,10.914233,1
Zerbst/Anhalt,Zerbst Airport,\N,52.000832,12.148611,0
Spadeadam,RAF Spadeadam,\N,55.0499992371,-2.54999995232,1
Kinloss,RAF Kinloss,FSS,57.6493988037,-3.56064009666,0
Biała Podlaska,Biała Podlaska Airfield,BXP,52.00078,23.1325278,0
Lębork,Cewice Air Base,\N,54.416,17.7633,0
Dęblin,Deblin Military Air Base,\N,51.551399231,21.8936004639,1
Leczyca,Leczyca Military Air Base,\N,52.004699707,19.1455993652,0
,Minsk Mazowiecki Military Air Base,\N,52.1954994202,21.6558990479,1
,Powidz Military Air Base,\N,52.379398,17.853901,1
Tomaszów Mazowiecki,Tomaszow Mazowiecki Military Air Base,\N,51.584400177,20.0977993011,1
Björkvik,Björkvik Air Base,\N,58.79079818725586,16.571199417114258,0
Ljungbyhed,Ljungbyhed Airport,\N,56.082801818847656,13.212499618530272,0
Daugavpils,Daugavpils Intrenational Airport,DGP,55.9447212219,26.6650009155,0
Jēkabpils,Jēkabpils Air Base,\N,56.534698,25.8925,1
Tukums,Jūrmala Airport,\N,56.9422,23.2239,1
Kėdainiai,Kėdainiai Air Base,\N,55.31169891357422,23.95639991760254,0
Lime Acres,Lime Acres Finsch Mine Airport,LMR,-28.36009979248047,23.43910026550293,1
Sowa,Sua Pan Airport,SXN,-20.5534,26.115801,1
Lusaka,Lusaka City Airport,\N,-15.4138002396,28.3306999207,1
Sumbe,Sumbe Airport,NDD,-11.16790008544922,13.84749984741211,1
Mangochi,Mangochi Airport,MAI,-14.482999801635742,35.266998291015625,1
Arandis,Arandis Airport,ADI,-22.46220016479492,14.979999542236328,1
Mariental,Mariental Airport,\N,-24.60540008544922,17.925399780273438,1
Cairo,Almaza Air Force Base,\N,30.091800689697266,31.36000061035156,0
Beni Suef,Beni Suef Air Base,\N,29.20829963684082,31.016599655151367,1
Jiyanklis,Jiyanklis Air Base,\N,30.819799423217773,30.191200256347656,1
Merowe,Merowe New Airport,MWE,18.4433333333,31.8433333333,0
Alton/St Louis,St Louis Regional Airport,ALN,38.89030075069999,-90.0459976196,0
Alexandria,Chandler Field,AXN,45.8662986755,-95.3946990967,1
Columbus,Columbus Municipal Airport,CLU,39.2619018555,-85.8963012695,0
Brady,Curtis Field,BBD,31.1793003082,-99.3238983154,1
Bishop,Eastern Sierra Regional Airport,BIH,37.3731002808,-118.363998413,1
Baker City,Baker City Municipal Airport,BKE,44.8372993469,-117.808998108,1
Big Piney,Miley Memorial Field,BPI,42.58509827,-110.1110001,1
Mountain Home,Ozark Regional Airport,WMH,36.3689002991,-92.4704971313,1
Battle Creek,W K Kellogg Airport,BTL,42.3073005676,-85.2515029907,0
Burley,Burley Municipal Airport,BYI,42.5425987244,-113.772003174,0
Charles City,Northeast Iowa Regional Airport,CCY,43.0726013184,-92.6108016968,1
Chanute,Chanute Martin Johnson Airport,CNU,37.668800354,-95.4850997925,1
Jacksonville,Jacksonville Executive at Craig Airport,CRG,30.3362998962,-81.51439666750001,0
Crossville,Crossville Memorial Whitson Field,CSV,35.9513015747,-85.08499908450001,0
Fort Belvoir,Davison Army Air Field,DAA,38.715000152600005,-77.1809997559,1
Daggett,Barstow Daggett Airport,DAG,34.85369873,-116.7870026,0
Deming,Deming Municipal Airport,DMN,32.262298584,-107.721000671,0
