City,Airport,Acronym,Latitude,Longitude,re_check_in
Slave Lake,Slave Lake Airport,YZH,55.2930984497,-114.777000427,0
Sandspit,Sandspit Airport,YZP,53.25429916379999,-131.813995361,0
Sarnia,Chris Hadfield Airport,YZR,42.9994010925293,-82.30889892578125,0
Port Hardy,Port Hardy Airport,YZT,50.68059921264648,-127.36699676513672,0
Whitecourt,Whitecourt Airport,YZU,54.14390182495117,-115.78700256347656,0
Sept-iles,Sept-Îles Airport,YZV,50.22330093383789,-66.2656021118164,1
Teslin,Teslin Airport,YZW,60.17279815673828,-132.7429962158203,1
Greenwood,CFB Greenwood,YZX,44.98440170288086,-64.91690063476562,1
Faro,Faro Airport,ZFA,62.20750045776367,-133.37600708007812,1
Fort Mcpherson,Fort Mcpherson Airport,ZFM,67.40750122070312,-134.86099243164062,0
Blida,Blida Airport,QLD,36.50360107421875,2.814169883728028,1
Bou Saada,Bou Saada Airport,BUJ,35.33250045776367,4.206389904022217,1
Bejaja,Soummam Airport,BJA,36.7120018005,5.0699200630200005,1
Algier,Houari Boumediene Airport,ALG,36.69100189208984,3.215409994125366,1
Djanet,Djanet Inedbirene Airport,DJG,24.292801,9.45244,1
Boufarik,Boufarik Airport,\N,36.545799,2.87611,1
Reggan,Reggane Airport,\N,26.7101,0.285647,0
Illizi,Illizi Takhamalt Airport,VVZ,26.7234992981,8.62265014648,1
Ain Oussera,Ain Oussera Airport,\N,35.52539825439453,2.8787100315093994,1
Tamanrasset,Aguenar – Hadj Bey Akhamok Airport,TMR,22.8115005493,5.45107984543,0
Jijel,Jijel Ferhat Abbas Airport,GJL,36.7951011658,5.87361001968,1
Mecheria,Mecheria Airport,MZW,33.535900116,-0.242353007197,0
Relizane,Relizane Airport,\N,35.752201,0.626272,0
Annaba,Rabah Bitat Airport,AAE,36.822201,7.809174,0
Constantine,Mohamed Boudiaf International Airport,CZL,36.2760009765625,6.620389938354492,0
Tebessa,Cheikh Larbi Tébessi Airport,TEE,35.4315986633,8.12071990967,1
Tilrempt,Hassi R'Mel Airport,HRM,32.93040084838867,3.311539888381958,0
Tiaret,Bou Chekif Airport,TID,35.3410987854,1.46315002441,0
Bou Sfer,Bou Sfer Airport,\N,35.73540115356445,-0.8053889870643616,0
Tindouf,Tindouf Airport,TIN,27.7003993988,-8.167099952700001,1
Ech-cheliff,Ech Cheliff Airport,CFK,36.2126998901,1.33176994324,1
Oran,Tafaraoui Airport,TAF,35.54240036010742,-0.5322780013084412,1
Tlemcen,Zenata – Messali El Hadj Airport,TLM,35.0167007446,-1.45000004768,1
Oran,Es Senia Airport,ORN,35.6239013672,-0.6211829781529999,0
Sidi Bel Abbes,Sidi Bel Abbes Airport,BFW,35.1717987061,-0.593275010586,1
Ghriss,Ghriss Airport,MUW,35.207698822021484,0.1471419930458068,0
Adrar,Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,27.83760070800781,-0.1864140033721923,0
Biskra,Biskra Airport,BSK,34.7933006287,5.73823022842,1
El Golea,El Golea Airport,ELG,30.5713005065918,2.8595900535583496,1
Ghardaia,Noumérat - Moufdi Zakaria Airport,GHA,32.38410186767578,3.794110059738159,0
Hassi Messaoud,Oued Irara Airport,HME,31.6730003357,6.140439987180001,0
In Salah,In Salah Airport,INZ,27.2509994507,2.51202011108,1
Touggourt,Touggourt Sidi Madhi Airport,TGR,33.06779861450195,6.088669776916504,0
Laghouat,Laghouat Airport,LOO,33.7644004822,2.92833995819,1
Timimoun,Timimoun Airport,TMX,29.2371006012,0.276033014059,1
Ouargla,Ain el Beida Airport,OGX,31.917200088500977,5.412779808044434,0
Zarzaitine,In Aménas Airport,IAM,28.0515,9.64291,0
Cotonou,Cadjehoun Airport,COO,6.357230186462402,2.384350061416626,1
Ouagadougou,Ouagadougou Airport,OUA,12.3532,-1.51242,0
Bobo-dioulasso,Bobo Dioulasso Airport,BOY,11.160099983215332,-4.33096981048584,0
Accra,Kotoka International Airport,ACC,5.605189800262451,-0.1667860001325607,1
Tamale,Tamale Airport,TML,9.55718994140625,-0.8632140159606934,1
Wa,Wa Airport,\N,10.0826997756958,-2.507689952850342,0
Sunyani,Sunyani Airport,NYI,7.361830234527588,-2.3287599086761475,1
Takoradi,Takoradi Airport,TKD,4.896059989929199,-1.7747600078582764,1
Abidjan,Port Bouet Airport,ABJ,5.261390209197998,-3.9262900352478023,0
Bouake,Bouaké Airport,BYK,7.738800048828125,-5.073669910430908,0
Daloa,Daloa Airport,DJO,6.792809963226318,-6.473189830780029,1
Korhogo,Korhogo Airport,HGO,9.38718032837,-5.55666017532,0
Man,Man Airport,MJC,7.272069931030273,-7.58735990524292,0
San Pedro,San Pedro Airport,SPY,4.746719837188721,-6.660820007324219,1
Yamoussoukro,Yamoussoukro Airport,ASK,6.9031701088,-5.36558008194,1
Abuja,Nnamdi Azikiwe International Airport,ABV,9.006790161132812,7.263169765472412,1
Akure,Akure Airport,AKR,7.246739864349365,5.3010101318359375,1
Benin,Benin Airport,BNI,6.316979885101318,5.599500179290772,0
Calabar,Margaret Ekpo International Airport,CBQ,4.976019859313965,8.347200393676758,1
Enugu,Akanu Ibiam International Airport,ENU,6.474269866943359,7.561960220336914,0
Gusau,Gusau Airport,\N,12.1717,6.69611,1
Ibadan,Ibadan Airport,IBA,7.362460136413574,3.97832989692688,1
Ilorin,Ilorin International Airport,ILR,8.440210342407227,4.493919849395752,0
Jos,Yakubu Gowon Airport,JOS,9.639829635620115,8.869050025939941,0
Kaduna,Kaduna Airport,KAD,10.696000099182127,7.320109844207764,1
Kano,Mallam Aminu International Airport,KAN,12.0476,8.52462,1
Maiduguri,Maiduguri International Airport,MIU,11.855299949645996,13.080900192260742,1
Makurdi,Makurdi Airport,MDI,7.70388,8.61394,1
Lagos,Murtala Muhammed International Airport,LOS,6.5773701667785645,3.321160078048706,1
Minna,Minna Airport,MXJ,9.652170181274414,6.462259769439697,1
Port Hartcourt,Port Harcourt International Airport,PHC,5.0154900550842285,6.94959020614624,0
Sokoto,Sadiq Abubakar III International Airport,SKO,12.916299819946287,5.207190036773682,1
Yola,Yola Airport,YOL,9.257550239562988,12.430399894714355,0
Zaria,Zaria Airport,ZAR,11.1302,7.68581,0
Maradi,Maradi Airport,MFQ,13.5024995803833,7.1267499923706055,0
Niamey,Diori Hamani International Airport,NIM,13.4815,2.18361,1
Tahoua,Tahoua Airport,THZ,14.875699996948242,5.265359878540039,0
Agadez,Mano Dayak International Airport,AJY,16.965999603271484,8.000109672546387,1
Dirkou,Dirkou Airport,\N,18.968700408935547,12.86870002746582,1
Diffa,Diffa Airport,\N,13.372900009155272,12.626700401306152,1
Zinder,Zinder Airport,ZND,13.779000282287598,8.983759880065918,1
Monastir,Monastir Habib Bourguiba International Airport,MIR,35.75809860229492,10.75469970703125,0
Tunis,Tunis Carthage International Airport,TUN,36.85100173950195,10.22719955444336,0
Bizerte,Sidi Ahmed Air Base,\N,37.245398,9.79145,1
Remada,Remada Air Base,\N,32.30619812011719,10.382100105285645,1
Gafsa,Gafsa Ksar International Airport,GAF,34.422000885009766,8.822500228881836,0
Gabes,Gabès Matmata International Airport,GAE,33.87689971923828,10.103300094604492,0
Bordj El Amri,Borj El Amri Airport,\N,36.72129821777344,9.94314956665039,1
Djerba,Djerba Zarzis International Airport,DJE,33.875,10.775500297546388,1
El Borma,El Borma Airport,EBM,31.70429992675781,9.254619598388672,1
Sfax,Sfax Thyna International Airport,SFA,34.71799850463867,10.690999984741213,0
Tozeur,Tozeur Nefta International Airport,TOE,33.939701080322266,8.110560417175293,0
Niatougou,Niamtougou International Airport,LRL,9.767330169677734,1.091249942779541,1
Lome,Lomé-Tokoin Airport,LFW,6.165609836578369,1.2545100450515747,1
Antwerp,Antwerp International Airport (Deurne),ANR,51.1893997192,4.46027994156,0
Beauvechain,Beauvechain Air Base,\N,50.75859832763672,4.768330097198486,0
Kleine Brogel,Kleine Brogel Air Base,\N,51.168301,5.47,1
Brussels,Brussels Airport,BRU,50.9014015198,4.48443984985,0
Bertrix,Jehonville Air Base,\N,49.891700744628906,5.223889827728272,1
Charleroi,Brussels South Charleroi Airport,CRL,50.459202,4.45382,0
Chievres,Chièvres Air Base,\N,50.575801849365234,3.8310000896453857,0
Koksijde,Koksijde Air Base,\N,51.09030151367188,2.652780055999756,0
Florennes,Florennes Air Base,\N,50.2433013916,4.64583015442,0
Kortrijk-vevelgem,Wevelgem Airport,KJK,50.817199707,3.20472002029,1
Liege,Liège Airport,LGG,50.63740158081055,5.443220138549805,1
Ostend,Ostend-Bruges International Airport,OST,51.1988983154,2.8622200489,0
Zutendaal,Zutendaal Air Base,\N,50.9474983215332,5.590559959411621,0
Sint-truiden,Brustem Airfield Sint Truiden,\N,50.791901,5.20167,0
St.-hubert,Saint Hubert Air Base,\N,50.034400939941406,5.440810203552246,1
Ursel,Ursel Air Base,\N,51.14419937133789,3.475559949874878,1
Weelde,Weelde Air Base,\N,51.394798278808594,4.9601898193359375,1
Zoersel,Zoersel (Oostmalle) Airfield,OBL,51.264702,4.75333,0
Bautzen,Flugplatz Bautzen,\N,51.193611,14.519722,0
Altenburg,Altenburg-Nobitz Airport,AOC,50.981945,12.506389,0
Dessau,Dessau Airfield,\N,51.831694,12.190962,0
Eisenhuettenstadt,Eisenhüttenstadt Airfield,\N,52.195856,14.58753,1
Suhl,Großenhain Airport,\N,51.30805587768555,13.555556297302246,0
Muehlhausen,Merseburg Airport,\N,51.3630556,11.9408333,0
Halle,Halle-Oppin Airport,\N,51.552223,12.053889,0
Riesa,Riesa-Göhlis Airport,IES,51.2936096191,13.3561105728,0
Rechlin-laerz,Rechlin-Lärz Airport,REB,53.306388855,12.7522220612,0
Strausberg,Strausberg Airport,\N,52.5805549621582,13.916666984558104,0
Schoenhagen,Schönhagen Airport,QXH,52.203609,13.156389,0
Barth,Barth Airport,BBH,54.338253,12.710515,0
Jena,Jena-Schöngleina Airfield,\N,50.915279,11.714444,0
Kyritz,Kyritz Airport,\N,52.918888092041016,12.425277709960938,0
Magdeburg,"Magdeburg ""City"" Airport",ZMG,52.073612,11.626389,1
Rothenburg/ol,Rothenburg/Görlitz Airport,\N,51.36333465576172,14.949999809265137,0
Anklam,Anklam Airfield,\N,53.832779,13.668611,0
Cottbus,Cottbus-Drewitz Airport,CBU,51.889442,14.531944,1
Kamenz,Kamenz Airport,\N,51.29694366455078,14.1274995803833,1
Berlin,Berlin-Schönefeld Airport,SXF,52.380001,13.5225,0
Dresden,Dresden Airport,DRS,51.1328010559082,13.767200469970703,1
Erfurt,Erfurt Airport,ERF,50.97980117797852,10.958100318908691,0
Frankfurt,Frankfurt am Main Airport,FRA,50.033333,8.570556,1
Munster,Münster Osnabrück Airport,FMO,52.134601593,7.68483018875,0
Hamburg,Hamburg Airport,HAM,53.630401611328,9.9882297515869,1
Berlin,Berlin-Tempelhof International Airport,THF,52.47299957275391,13.403900146484377,0
Cologne,Cologne Bonn Airport,CGN,50.8658981323,7.1427397728,1
Duesseldorf,Düsseldorf Airport,DUS,51.289501,6.76678,0
Munich,Munich Airport,MUC,48.353802,11.7861,1
Nuernberg,Nuremberg Airport,NUE,49.498699,11.078056,0
Leipzig,Leipzig/Halle Airport,LEJ,51.423889,12.236389,1
Saarbruecken,Saarbrücken Airport,SCN,49.2145996094,7.10950994492,0
Stuttgart,Stuttgart Airport,STR,48.6898994446,9.22196006775,0
Berlin,Berlin-Tegel Airport,TXL,52.5597,13.2877,1
Hannover,Hannover Airport,HAJ,52.461101532,9.68507957458,1
Bremen,Bremen Airport,BRE,53.0475006104,8.78666973114,0
Egelsbach,Frankfurt-Egelsbach Airport,QEF,49.959999,8.645833,1
Hahn,Frankfurt-Hahn Airport,HHN,49.9487,7.26389,1
